Country code,Year,cereal_yield_(kg_per_hectare),"co2_emissions,_total_(ktco2)",co2_emissions_per_capita_(metric_tons),"co2_emissions_per_units_of_gdp_(kg/$1,000_of_2005_ppp_$)",energy_use_per_capita_(kilograms_of_oil_equivalent),"energy_use_per_units_of_gdp_(kg_oil_eq./$1,000_of_2005_ppp_$)","foreign_direct_investment,_net_inflows_(%_of_gdp)",gdp_($),gni_per_capita_(atlas_$),nationally_terrestrial_protected_areas_(%_of_total_land_area),population,population_growth_(annual_%),population_in_urban_agglomerations_>1million_(%),ratio_of_girls_to_boys_in_primary_&_secondary_school_(%),"under-five_mortality_rate_(per_1,000)",urban_population,urban_population_growth_(annual_%)
LAC,1999,2822.14231846996,1306420.088,2.57796532994145,325.770182384912,1146.73075407346,142.872506695647,4.75798902349707,1851581310713.15,3761.33669224964,14.9476315315069,506764025.422199,1.52959756799007,33.0055937002453,101.129,36.2599727826,379601872.878491,2.14195415618769
LAC,2000,2864.06685568954,1293515.915,2.515336700262,309.544134691157,1139.25409938088,138.025381753326,3.84302096753132,2054022015046.62,3817.10355372835,16.1436954681215,514251596.959271,1.47752625708463,33.0532258276772,101.149,34.5282753986,387514996.854021,2.08458507212454
LAC,2001,3006.33212994471,1327817.033,2.54565378316918,315.854599929217,1122.34042485365,137.168599663936,3.61038990434767,1991947931992.53,3683.67877492678,16.660104702087,521601579.043853,1.42925799901082,33.3331405945983,101.398,32.8504237793,395300675.947017,2.00912975141669
LAC,2002,2927.02226873561,1335657.079,2.52579979623193,316.717653508811,1122.57478122116,138.922721209694,3.11457302057889,1776571526165.21,3434.54283146956,17.9604272607912,528805600.900188,1.38113497845256,33.5030663667987,101.442,31.2349935904,403038408.128916,1.95742953471097
LAC,2003,3257.65161627117,1354190.097,2.52709831346258,315.102394412737,1122.40151304996,138.191806467327,2.25774079390077,1905712531061.35,3475.06310824875,18.3622716916357,535867595.56834,1.33546139755889,33.6917741577021,101.826,29.6895904425,410728433.382481,1.90801300780888
LAC,2004,3190.1954841135,1371285.651,2.52623992410877,301.20119635047797,1166.7276734293,137.748114287564,3.04050916551359,2200167440178.78,3853.45928891034,19.2772909330436,542816871.0,1.29682695672055,33.8961713904893,101.325,28.2666724704,418388519.4178,1.86500018326842
LAC,2005,3199.37815069832,1416279.741,2.57665948331829,297.3564410155,1210.49433931124,138.620755757692,2.76529573745545,2669107191215.72,4411.41217231519,20.2478572026484,549657318.0,1.26017582824909,33.9876661087052,101.611,26.878364064,426021326.636,1.82433476636055
LAC,2006,3255.26445903156,1449594.436,2.60536158080461,288.237483543544,1237.73786520418,135.973565705823,2.29886179233087,3141727359667.6,5050.51223420146,20.7937511452076,556388966.0,1.22469905876883,34.3432074988691,101.697,25.6080918152,433249629.208,1.69669970024199
LAC,2007,3558.35931758069,1515347.413,2.6915315973072,284.971193553883,1248.04619045907,131.402548820633,2.9810337228205,3709862112138.45,5912.28198524421,20.8322534747775,563005619.0,1.18921355460526,34.5853926764053,101.706,24.4285720607,440432074.7818,1.65780766781725
LAC,2008,3634.79023927653,1584103.663,2.78135096399118,285.55066876296996,1281.42936377328,130.671990724194,3.00733615359851,4321484146174.31,6837.24880780174,20.8322547612684,569544686.560104,1.16145689126846,34.8291207060408,101.84,23.2681485071,447597471.947933,1.62690175770757
LBN,2006,2682.4,15027.366,3.66748595531326,384.535770257363,1161.81158215937,121.815902523728,11.9201175676739,22437147595.3566,5710.0,0.477329080462,4097457.0,1.10523038448391,44.2184262092317,102.924,24.8,3553314.7104,1.24370259677856
LBN,2007,2183.5,15504.076,3.74959031379931,369.069200854075,1013.93634434149,99.8009502387053,13.4733566104718,25056716417.9104,6240.0,0.477329080462,4134872.0,0.908983535955447,44.6459527646805,103.659,24.4,3590722.8448,1.04726426783096
LBN,2008,2683.4,17099.221,4.10356846731935,372.484660359185,1298.08599407475,117.82845210715,14.4052619839092,30079601990.0498,7040.0,0.477329080462,4166915.0,0.771958112758128,45.0909125816101,103.321,23.5,3623549.284,0.910047893044405
LBY,2002,629.4,47623.329,8.76348202056827,763.550987620099,3109.09993259473,270.891903306301,0.730753968253968,19842519685.0394,4720.0,0.111253678279,5434293.0,1.91322551530712,19.0841016485493,102.94,24.7,4164842.1552,2.0699244243624
LBY,2003,554.5,49167.136,8.87323332603028,697.613313927289,3124.97387684888,245.685344007522,0.594285714285714,24062500000.0,4790.0,0.111253678279,5541062.0,1.94567498236368,18.8499244368679,101.302,23.5,4253319.1912,2.10212873005309
LBY,2005,621.2,52093.402,9.02877458811181,644.205425991293,3042.88431184311,217.110590725586,2.35909090909091,44000000000.0,6460.0,0.111253678279,5769709.0,2.04711790604861,18.362191230095,107.846,21.3,4442675.93,2.20308362521328
LBY,2006,622.6,53780.222,9.12497671257188,628.012500908213,2991.69270843054,205.898653657033,3.65410788381743,56484375000.0,8410.0,0.111253678279,5893738.0,2.12687853697702,18.104028377237,105.404,20.4,4548786.9884,2.36037196255591
LIC,1991,1630.64753335725,335600.293117305,0.647484683912054,839.6686917568729,375.302024778283,362.779713741619,0.254793702309208,145353810597.967,281.664568933957,9.52599591045348,518313871.286705,2.6108756933541,8.50649578236904,79.5717034178947,162.2983796404,112830997.364327,3.99476692673157
LIC,1999,1711.39728251718,172432.611471735,0.274070208347653,350.154094812441,314.691829898052,342.641866741903,1.68081863081377,165223166305.412,266.298039401081,10.0537205754036,629154888.856096,2.35245640855324,9.32774372450316,84.576,139.819127416,151851868.61738,3.62233693079266
LIC,2000,1735.08430527442,179033.941,0.278128464380454,349.885165919733,320.862515485281,345.033702891008,1.51026203663558,164799150333.392,264.642058488786,10.0653318231093,643709522.5,2.31336256011087,9.48028094290645,85.937,136.5074315878,157278186.1325,3.573428212986
LIC,2001,1765.49382022876,181787.858,0.276120661564619,337.058115072963,324.330303413214,341.31292896629,1.632558944029,165890328851.336,261.740304262514,10.1159506821274,658363836.193609,2.27654138728528,9.64535917222432,86.629,133.1517007732,163190991.839458,3.75945695481062
LIC,2002,1781.1401096946,179609.66,0.266819550890641,321.735027190312,325.069986389667,340.247537376741,1.9659299174267,174503007315.215,258.563625282884,10.5089644738508,673150297.271937,2.24594065856007,9.82792126379051,86.985,130.0506068184,169237499.802263,3.70517262910755
